"","FN1","LV2","FV3","LV3","LV1","LN3","FV2","LN1","FN3","FN2","HF.1","HF.7","HF.8","HF.10","HF.13","HF.14","HF.15"
"TMEM92",36,34,33,40,40,46.2,43,104.43,65.09,57.44,33,58,40,46,46,41,40
"TNF",43.57,34,33,40,40,36,43,55,37,38,33,58,40,46,46,41,40
"TRBC1",36,34,33,40,40,57.74,44.32,102.55,57.32,127.65,33,58,40,46,46,41,40
"WARS1",716.53,378.58,178.2,201.64,230.04,385.31,336.39,422.42,448.84,753.15,443.53,413.71,280.95,1126.45,544.91,430.61,384.65
"XBP1",9635.41,10255.67,4706.46,5512.63,7090.18,6149.27,13159.54,12922.82,7595.31,12981,10050.29,18287.11,12026.19,18914.5,16840.63,9013.85,13293.3
"ZNF746",74.56,70.67,33,40,40,116.54,43,115.72,130.18,99.57,114.65,102.39,53.86,94.27,107.86,93.65,72.06
"NEG_A",9,6,2,10,11,6,9,11,8,9,3,3,7,11,2,10,10
"NEG_B",36,13,19,36,36,30,43,21,30,35,25,36,31,29,25,34,35
"NEG_C",3,2,2,1,4,3,5,2,2,1,1,1,2,2,1,1,4
"NEG_D",11,7,4,5,9,6,8,5,6,8,1,7,7,4,9,2,5
"NEG_E",17,7,3,13,14,5,16,14,17,8,12,5,14,17,14,12,20
"NEG_F",34,34,33,40,40,36,41,45,37,38,29,40,40,46,46,41,40
"NEG_G",1,1,1,2,5,4,2,4,3,1,1,3,3,2,5,2,2
"NEG_H",26,12,31,27,16,11,23,55,26,35,33,58,32,22,44,32,33
"POS_A",10134,7572,7028,13914,15612,8845,9478,10980,9894,10164,13241,10903,13473,11084,11463,13503,10951
"POS_B",3728,3032,2881,5403,5890,3375,3728,4006,3717,3815,4603,4143,4803,3836,4137,4861,4283
"POS_C",932,742,716,1399,1537,842,923,1086,988,961,1075,1062,1295,990,1106,1290,1084
"POS_D",215,176,157,313,346,230,204,243,247,212,256,276,305,251,261,302,265
"POS_E",111,78,82,134,126,115,136,121,118,112,123,137,151,104,112,134,130
"POS_F",45,33,33,54,50,35,33,32,35,29,52,50,55,35,36,40,58
