,libraryID,liverID,HF,macro,male,micro,alactate.3H,time,group,liver,liverweight,PVp,PVf,HAp,HAf,bicarbadded,HAr,PVr,macro,aph,aco2,ao2,ahco3,abe,alactate,vph,vco2,vo2,vhco3,vbe,vlactate,Na,K,Ca,Cl,Glu,BUN,Cr,AG,AST,ALT,Alb,Alp,Dbil,Tbil,TP,VLDL,Trig,HDL,LDL,Chol,bilevol,bilepH,bilehco3,bilelactate,bilegluc,hct,hb,wbc,plt,AMP,ADP,ATP,NAD,NADH,NADP,NADPH,FAD,atpadp,atpamp,ec,nadhnad
39,NA,NA,5,,,,20,9,2,NA,NA,10,420,92,135,50,0.681481481,0.023809524,NA,7.043,82.1,542,22.3,-8,20,6.956,104.8,48,23.4,-9,20,124,9,0.52,NA,700,78,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,32.1,9.6,7.5,146,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
40,NA,NA,5,,,,20,12,2,NA,2.927,10,450,92,147,NA,0.62585034,0.022222222,NA,7.035,105,598,28.1,-3,20,6.951,127.7,46,28.1,-4,20,130,9,0.5,NA,700,89,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.65147328,5.445576544,1.043184948,6.886207849,5.781942099,1.883341888,0.115617224,0.215343798,0.191565565,0.053084312,0.144068072,0.83964095
41,FV3,CV1,6,5,1,80,2.88,0,0,4,2.22,5,NA,30,NA,100,NA,NA,NA,7.408,115,NA,72.5,30,18.97,NA,NA,NA,NA,NA,NA,158,9,2.5,103,87,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,12.2,NA,NA,93.83853502,8.862031081,1.497744249,19.07710954,10.25958309,12.20239113,0.404211725,0.489772844,0.169006883,0.015960866,0.056898809,0.53779547
42,FV3,CV1,6,5,1,80,2.88,0.5,0,4,NA,7,750,70,110,0,0.636363636,0.009333333,NA,7.665,37.9,521,43.3,23,20,7.457,53.1,38,37.5,14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
43,FV3,CV1,6,5,1,80,2.88,1,0,4,NA,7,680,75,264,0,0.284090909,0.010294118,NA,7.469,46.3,521,33.6,10,20,7.377,53.6,56,31.5,6,18.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
44,FV3,CV1,6,5,1,80,2.88,1.5,0,4,NA,7,740,85,320,0,0.265625,0.009459459,NA,7.419,51.2,572,33.2,9,17.29,7.299,67.1,50,33,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
45,FV3,CV1,6,5,1,80,2.88,2,0,4,NA,8,1140,85,323,0,0.263157895,0.007017544,NA,7.468,52.4,570,37.9,14,11.05,7.328,72.9,55,38.3,12,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
46,FV3,CV1,6,5,1,80,2.88,3,0,4,NA,8,1050,85,360,0,0.236111111,0.007619048,NA,7.513,57.6,606,46.2,23,2.88,7.34,82.6,55,44.6,19,2.5,148,7.9,0.95,88,700,80,2.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5640708,24.71608587,14.51446268,56.99444355,4.253346702,12.882746,0.031077797,0.541320228,0.587247623,0.239654675,0.269278101,0.074627392
47,FV3,CV1,6,5,1,80,2.88,4,0,4,NA,8,990,85,375,0,0.226666667,0.008080808,NA,7.48,62,580,46.1,23,2.19,7.329,85.3,64,44.9,19,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.275,24.4,15.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
48,FV3,CV1,6,5,1,80,2.88,6,0,4,NA,8,1020,85,389,0,0.218508997,0.007843137,NA,7.523,54.6,583,44.8,22,2.98,7.358,75,55,42.2,17,2.86,148,7.9,0.92,89,700,105,2.3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,9.9,NA,NA,38.18338429,19.23507723,15.1527667,39.15344777,2.324698789,10.06306461,0.031086094,0.466959595,0.787767396,0.396841898,0.341324047,0.059374051
49,FV3,CV1,6,5,1,80,2.88,9,0,4,NA,8,1030,85,397,5,0.214105793,0.00776699,NA,7.461,58.5,572,41.7,18,2.77,7.299,81.7,78,40.1,14,2.55,147,7.5,0.79,89,700,121,2.4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.448,41.9,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
50,FV3,CV1,6,5,1,80,2.88,12,0,4,1.892,8,1020,85,410,NA,0.207317073,0.007843137,NA,7.441,56.2,586,38.3,14,3.35,7.308,73.6,55,36.9,11,3.07,148,8,0.66,88,700,131,2.1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.449,39.9,3.52,NA,28,9.5,NA,NA,34.38700379,22.45510594,22.63674646,54.37457472,3.342113052,18.29295145,0.043143207,0.736936505,1.008089052,0.658293656,0.426079351,0.061464629
51,NA,NA,7,,,,16.35,0,0,5,2.811,5,NA,30,NA,85,NA,NA,NA,7.408,100.9,800,63.6,30,18.36,NA,NA,NA,NA,NA,NA,154,9,1.56,96,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA,NA,119.6843909,8.257491524,1.004007077,19.3625523,6.246369396,5.36011216,0.187695418,0.423345869,0.121587418,0.008388789,0.039805479,0.322600518
52,NA,NA,7,,,,16.35,0.5,0,5,NA,10,210,55,35,0,1.571428571,0.047619048,NA,7.389,46,578,27.8,3,19.2,7.232,58.5,46,24.6,-3,17.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
53,NA,NA,7,,,,16.35,1,0,5,NA,10,370,70,206,10,0.339805825,0.027027027,NA,7.3,43,563,21.2,-5,17.4,7.258,44.4,55,19.8,-7,16.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
54,NA,NA,7,,,,16.35,1.5,0,5,NA,12,540,75,185,5,0.405405405,0.022222222,NA,7.327,39.7,547,20.8,-5,16.8,7.242,47.6,64,20.5,-7,15.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
55,NA,NA,7,,,,16.35,2,0,5,NA,12,600,75,220,5,0.340909091,0.02,NA,7.324,42.9,575,22.3,-4,16.46,7.253,48.3,69,21.3,-6,15.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
56,NA,NA,7,,,,16.35,3,0,5,NA,12,720,75,250,15,0.3,0.016666667,NA,7.299,45.5,624,22.3,-4,16.35,7.246,48.5,80,21.1,-6,15.61,138,9,0.89,85,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04702435,3.833536772,1.469056323,7.240881087,0.667230983,1.368857982,,0.194920153,0.383211747,0.121943501,0.195152701,0.092147761
57,NA,NA,7,,,,16.35,4,0,5,NA,12,800,80,255,10,0.31372549,0.015,NA,7.319,48.4,627,24.9,-1,16.49,7.281,51.9,83,24.4,-2,16.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.667,58.5,13.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
58,NA,NA,7,,,,16.35,6,0,5,NA,12,890,80,270,10,0.296296296,0.013483146,NA,7.293,53.3,587,25.8,-1,16.64,7.243,56.3,98,24.3,-3,15.92,143,9,0.87,86,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,26.61752274,3.957312047,0.658862172,7.508187905,2.117330087,1.828823756,0.015344007,0.255917527,0.166492347,0.024752949,0.084444637,0.28200281
